Cycles CPU,U1,U2,U3,U4,U5,U6,U7,GT 
1, 0, 0.000362100441133654, 0.000292737642624023, 0.000352572830176619, 0.000724470977965224, 0.000548809882192324, 0.000515290120405231, 0, 
2, 9.82482620332242e-06, 0.000374310929442029, 0.000302490150031688, 0.00035259994972499, 0.000736681466273598, 0.000554940889917465, 0.000515317239953602, 9.82482620332242e-06, 
4, 2.94744786099673e-05, 0.000398731906058777, 0.000321995164847019, 0.000352654188821733, 0.000761102442890347, 0.000567202905367745, 0.000515371479050345, 2.94744786099673e-05, 
8, 6.87737834232569e-05, 0.000447573859292275, 0.00036100519447768, 0.000352762667015219, 0.000809944396123844, 0.000591726936268305, 0.00051547995724383, 6.87737834232569e-05, 
16, 0.000147372393049836, 0.00054525776575927, 0.000439025253739002, 0.00035297962340219, 0.000907628302590839, 0.000640774998069425, 0.000515696913630802, 0.000147372393049836, 
32, 0.000304569612302995, 0.000740625578693259, 0.000595065372261646, 0.000353413536176133, 0.00110299611552483, 0.000738871121671666, 0.000516130826404745, 0.000304569612302995, 
64, 0.000618964050809312, 0.00113136120456124, 0.000907145609306934, 0.000354281361724019, 0.00149373174139281, 0.000935063368876147, 0.000516998651952631, 0.000354281361724019, 
128, 0.00124775292782195, 0.0019128324562972, 0.00153130608339751, 0.000356017012819791, 0.00227520299312877, 0.00132744786328511, 0.000518734303048403, 0.000356017012819791, 
256, 0.00250533068184722, 0.00347577495976911, 0.00277962703157866, 0.000359488315011334, 0.00383814549660068, 0.00211221685210303, 0.000522205605239946, 0.000359488315011334, 
512, 0.00502048618989776, 0.00660165996671295, 0.00527626892794097, 0.000366430919394422, 0.00696403050354451, 0.00368175482973888, 0.000529148209623034, 0.000366430919394422, 
1024, 0.0100507972059988, 0.0128534299806006, 0.0102695527206656, 0.000380316128160597, 0.0132158005174322, 0.00682083078501058, 0.000543033418389209, 0.000380316128160597, 
2048, 0.020111419238201, 0.0253569700083759, 0.0202561203061148, 0.000408086545692947, 0.0257193405452075, 0.013098982695554, 0.000570803835921558, 0.000408086545692947, 
4096, 0.0402326633026053, 0.0503640500639266, 0.0402292554770132, 0.000463627380757646, 0.0507264206007582, 0.0256552865166408, 0.000626344670986258, 0.000463627380757646, 
8192, 0.0804751514314139, 0.100378210175028, 0.0801755258188102, 0.000574709050887045, 0.100740580711859, 0.0507678941588144, 0.000737426341115657, 0.000574709050887045, 
